キャラクター名,セリフ,イラスト
主人公,わあ、ここが｜早（わ）｜｜稲（せ）｜｜田（だ）｜｜大学（だいがく）｜か,Main
主人公, ｜今日（きょう）｜のプログラミング｜教室（きょうしつ）｜｜楽（たの）｜しみだなぁ〜,Main
主人公,ん？,Main
,（｜何（なに）｜か｜白（しろ）｜いものが｜動（うご）｜いている）,
,ピョコ（うさぎが｜現（あらわ）｜れる）,
主人公,うさぎちゃんだ！\nでも、｜何（なに）｜かくわえてる、なんだろう、、,Main
主人公,これは、｜宝（たから）｜の｜地図（ちず）｜と｜手紙（てがみ）｜？,Main
,この｜地図（ちず）｜を｜手（て）｜に｜入（い）｜れたきみへ,
,この｜地図（ちず）｜は、「｜世界（せかい）｜にひとつだけの｜宝（たから）｜」へと｜続（つづ）｜く｜道（みち）｜――,
, だが、｜地図（ちず）｜は｜一部（いちぶ）｜しか｜残（のこ）｜されていない,
,｜地図（ちず）｜の｜他（ほか）｜の｜部分（ぶぶん）｜である「｜地図（ちず）｜のカケラ」は\n｜日本（にほん）｜の｜各地（かくち）｜に｜隠（かく）｜されている。,
,まずはこの｜手紙（てがみ）｜と｜共（とも）｜に｜入（はい）｜っている｜色々（いろいろ）｜な｜乗（の）｜り｜物（もの）｜チケットを｜使（つか）｜って\n「｜地図（ちず）｜のカケラ」を｜探（さが）｜し、｜地図（ちず）｜を｜完成（かんせい）｜させるのだ！,
主人公,「｜世界（せかい）｜にひとつだけの｜宝（たから）｜」か、、,Main
主人公, よし、｜探（さが）｜してみよう！,Main
主人公,まずはどこに｜向（む）｜かったらいいのかな,Main
主人公,｜隠（かく）｜された｜地図（ちず）｜のカケラで｜近（ちか）｜くにあるのは、、,Main
主人公,｜東京（とうきょう）｜だ！,Main
主人公,｜早速（さっそく）｜｜向（む）｜かってみよう,Main
